[0.000000] (-) TimerEvent: {}
[0.000717] (rmp_ros2bot_description) JobQueued: {'identifier': 'rmp_ros2bot_description', 'dependencies': OrderedDict()}
[0.119184] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/log/COLCON_IGNORE\n'}
[0.119271] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/log/latest\n'}
[0.119357] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/log/build_2024-09-22_19-29-04\n'}
[0.119952] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/log/build_2024-09-22_19-29-04/events.log\n'}
[0.120058] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/log/build_2024-09-22_19-29-04/logger_all.log\n'}
[0.122514] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/log/build_2024-09-22_19-29-04/rmp_ros2bot_description\n'}
[0.122639] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/log/build_2024-09-22_19-29-04/rmp_ros2bot_description/streams.log\n'}
[0.122734] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/log/build_2024-09-22_19-29-04/rmp_ros2bot_description/stdout_stderr.log\n'}
[0.122829] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/log/build_2024-09-22_19-29-04/rmp_ros2bot_description/stdout.log\n'}
[0.122917] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/log/build_2024-09-22_19-29-04/rmp_ros2bot_description/stderr.log\n'}
[0.123038] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/log/build_2024-09-22_19-29-04/rmp_ros2bot_description/command.log\n'}
[0.123127] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/log/latest_build\n'}
[0.123213] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/package.xml\n'}
[0.123300] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/launch\n'}
[0.123447] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/launch/urdf.rviz\n'}
[0.123544] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/launch/controller.yaml\n'}
[0.123630] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/launch/controller.launch\n'}
[0.123716] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/launch/display.launch\n'}
[0.125525] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/launch/gazebo.launch\n'}
[0.125622] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install\n'}
[0.125721] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/setup.sh\n'}
[0.125809] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/setup.ps1\n'}
[0.125918] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/local_setup.sh\n'}
[0.126013] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/COLCON_IGNORE\n'}
[0.126099] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/local_setup.bash\n'}
[0.126184] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/setup.bash\n'}
[0.126270] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/local_setup.zsh\n'}
[0.128516] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/_local_setup_util_ps1.py\n'}
[0.128710] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/rmp_ros2bot_description\n'}
[0.128987] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/rmp_ros2bot_description/.catkin\n'}
[0.129199] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/rmp_ros2bot_description/share\n'}
[0.129310] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/rmp_ros2bot_description/share/rmp_ros2bot_description\n'}
[0.129494] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/rmp_ros2bot_description/share/rmp_ros2bot_description/package.sh\n'}
[0.129605] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/rmp_ros2bot_description/share/rmp_ros2bot_description/package.ps1\n'}
[0.129709] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/rmp_ros2bot_description/share/rmp_ros2bot_description/package.dsv\n'}
[0.129858] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/rmp_ros2bot_description/share/rmp_ros2bot_description/package.bash\n'}
[0.130085] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/rmp_ros2bot_description/share/rmp_ros2bot_description/package.zsh\n'}
[0.130236] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/rmp_ros2bot_description/share/colcon-core\n'}
[0.130479] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/rmp_ros2bot_description/share/colcon-core/packages\n'}
[0.130597] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/rmp_ros2bot_description/share/colcon-core/packages/rmp_ros2bot_description\n'}
[0.130704] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/_local_setup_util_sh.py\n'}
[0.134828] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/.colcon_install_layout\n'}
[0.135040] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/local_setup.ps1\n'}
[0.135243] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/models/install/setup.zsh\n'}
[0.135339] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/launch\n'}
[0.135497] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/launch/gazebo.launch.py\n'}
[0.135591] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/launch/state_publisher.launch.py\n'}
[0.135713] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/worlds\n'}
[0.135844] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/worlds/new_world.sdf\n'}
[0.135935] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/ament_index/resource_index/package_run_dependencies/rmp_ros2bot_description\n'}
[0.136023] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/ament_index/resource_index/parent_prefix_path/rmp_ros2bot_description\n'}
[0.136109] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/environment/ament_prefix_path.sh\n'}
[0.136194] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/environment/ament_prefix_path.dsv\n'}
[0.136280] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/environment/path.sh\n'}
[0.136366] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/environment/path.dsv\n'}
[0.136543] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/local_setup.bash\n'}
[0.136705] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/local_setup.sh\n'}
[0.138508] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/local_setup.zsh\n'}
[0.138657] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/local_setup.dsv\n'}
[0.138753] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Installing: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/package.dsv\n'}
[0.138855] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/ament_index/resource_index/packages/rmp_ros2bot_description\n'}
[0.138949] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/cmake/rmp_ros2bot_descriptionConfig.cmake\n'}
[0.139036] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/cmake/rmp_ros2bot_descriptionConfig-version.cmake\n'}
[0.139132] (rmp_ros2bot_description) StdoutLine: {'line': b'-- Up-to-date: /home/nipun/ros2RB_ws/rmp_ros2bot_description/install/rmp_ros2bot_description/share/rmp_ros2bot_description/package.xml\n'}
[0.139220] (rmp_ros2bot_description) CommandEnded: {'returncode': 0}
[0.199684] (rmp_ros2bot_description) JobEnded: {'identifier': 'rmp_ros2bot_description', 'rc': 0}
[0.200172] (-) TimerEvent: {}
[0.200528] (-) EventReactorShutdown: {}
